data,valor_tarifa,ipca_variacao_acumulada_ano_base,ipca_variacao_mensal_acumulada,salario_minimo_real,valor_tarifa_real_ipca,valor_tarifa_real_igpm,ano,mes,dia,tarifa_real_igpm_sobre_salario_percentual,tarifa_real_ipca_sobre_salario_percentual,variacao_percentual_real_igpm,variacao_percentual_real_ipca,variacao_percentual_salario_real,elasticidade_tarifa_real_salario_igpm,elasticidade_tarifa_real_salario_ipca
1999-07-12,1.0,8.94,,666.37,4.83,7.36,1999,7,12,1.104491498716929,0.7248225460329847,,,,,
2001-01-25,1.15,7.67,10.53,673.01,5.0,6.94,2001,1,25,1.0311882438596753,0.742931011426279,-5.706521739130432,3.5196687370600444,0.9964434173207026,-5.726889896542719,3.5322314101125207
2002-05-13,1.35,12.53,9.7,798.44,5.33,7.3,2002,5,13,0.914282851560543,0.6675517258654375,5.187319884726227,6.600000000000006,18.63716735263965,0.2783319904025827,0.3541310691222196
2003-02-25,1.7,9.3,11.87,688.05,5.97,7.25,2003,2,25,1.0537024925514136,0.867669500763026,-0.6849315068493178,12.007504690431503,-13.825710134762803,0.04954042144476571,-0.868490990581404
2004-03-17,1.8,7.6,8.07,763.9,5.83,7.11,2004,3,17,0.9307500981803902,0.7631888990705591,-1.93103448275862,-2.345058626465657,11.023908146210303,-0.1751678676153024,-0.2127247973552664
2005-08-15,1.9,5.69,9.35,886.54,5.61,6.69,2005,8,15,0.7546190809213347,0.6327971665125094,-5.907172995780585,-3.7735849056603765,16.0544573897107,-0.36794597614781377,-0.23504904675749846
2006-04-10,2.0,3.14,3.61,1007.1,5.7,7.0,2006,4,10,0.6950650382285771,0.5659815311289842,4.6337817638266054,1.6042780748663166,13.59893518622961,0.3407459260868314,0.11797085969575186
2007-04-09,2.1,4.46,2.92,1057.06,5.81,7.05,2007,4,9,0.6669441658940836,0.5496376743042022,0.7142857142857117,1.9298245614034926,4.960778472842797,0.14398661786572117,0.38901647633896413
2008-04-01,2.3,5.9,4.63,1090.09,6.07,7.08,2008,4,1,0.649487656982451,0.5568347567632032,0.42553191489362874,4.4750430292599175,3.1247043687207876,0.13618309596047828,1.4321492535602467
2009-03-01,2.3,4.31,5.27,1160.54,5.76,6.61,2009,3,1,0.569562445068675,0.496320678304927,-6.638418079096042,-5.1070840197693705,6.462769129154489,-1.0271785896155838,-0.7902315428119773
